,Gender,IsLocal,IsPartnerEmployee,IsFriendPromo,HasPhone,ContractType,IsVisitingGroup,MemberAge,AvgOverdueCosts,NumMonthsContractEnd,Tenure,OvrClassFreq,AvgClassFreqCurrentMonth,IsChurned,AgeGroup,TenureGroup
49,Female,Yes,No,No,Yes,Semi-Annually,No,27.0,272.99718088898123,6,12,2.288928344890015,2.2043292947378545,No,25-28,8-15
50,Male,Yes,No,No,Yes,Monthly,No,33.0,204.2615056608934,1,6,1.8025185415587104,1.7216235470768095,No,33-37,0-7
51,Male,No,Yes,No,Yes,Monthly,No,29.0,373.066503119564,1,0,1.6858228409402505,1.6617420771398794,No,29-32,0-7
52,Male,Yes,No,Yes,Yes,Monthly,Yes,30.0,252.9156830285072,1,1,1.491547003063834,1.0592608497344491,Yes,29-32,0-7
53,Female,Yes,No,No,Yes,Semi-Annually,Yes,24.0,1.754737156770652,4,6,3.0056564705977453,2.9871328008335536,No,21-24,0-7
54,Female,Yes,No,No,Yes,Annually,Yes,23.0,34.972072319098174,11,3,0.0294275662078662,0.2131890921930141,No,21-24,0-7
55,Female,Yes,Yes,Yes,No,Monthly,No,30.0,194.6691783286323,1,4,1.8930153973176576,1.9009430377531884,No,29-32,0-7
56,Male,Yes,No,No,Yes,Semi-Annually,Yes,30.0,134.4978468662896,6,2,1.6869872332841584,1.7088797675468983,No,29-32,0-7
57,Female,Yes,No,No,Yes,Semi-Annually,Yes,27.0,236.9158278764984,6,0,0.9964930166420368,0.0,Yes,25-28,0-7
58,Male,Yes,Yes,Yes,Yes,Semi-Annually,No,28.0,115.77487796084124,6,2,0.6335916085168876,0.7550997925776941,No,25-28,0-7
59,Male,Yes,Yes,Yes,Yes,Monthly,No,34.0,166.862754236209,1,10,0.0,0.0,No,33-37,8-15
60,Female,Yes,Yes,No,Yes,Monthly,Yes,28.0,262.30956844586706,1,2,1.0266105076125682,0.9604870154524944,Yes,25-28,0-7
61,Female,Yes,Yes,No,Yes,Semi-Annually,No,32.0,55.77441782254436,5,6,0.8135614904122801,0.8746773672175823,No,29-32,0-7
62,Female,Yes,Yes,Yes,No,Semi-Annually,No,34.0,72.64111198794714,6,2,0.0,0.0,No,33-37,0-7
63,Male,Yes,No,No,Yes,Monthly,No,28.0,42.16080904270572,1,1,0.4250114097298257,0.6052465413331591,Yes,25-28,0-7
64,Female,Yes,Yes,No,Yes,Semi-Annually,No,30.0,95.37852877345216,6,2,2.9173741573753875,2.968503817781418,No,29-32,0-7
65,Male,Yes,Yes,Yes,Yes,Monthly,Yes,31.0,163.9731019398782,1,6,1.4245181139541172,1.0359563100429756,No,29-32,0-7
66,Female,Yes,No,No,Yes,Monthly,No,28.0,35.110895275635045,1,1,1.704473441832295,0.8869797239670347,Yes,25-28,0-7
67,Male,Yes,No,No,Yes,Monthly,Yes,30.0,414.5433842898426,1,3,2.8483272840904283,2.8631626362637617,No,29-32,0-7
68,Female,Yes,No,No,Yes,Monthly,No,27.0,152.06524646464462,1,1,1.0757009693441617,1.5809020013086426,Yes,25-28,0-7
69,Male,Yes,No,No,Yes,Semi-Annually,No,27.0,122.33561541666757,6,7,2.399736098485752,2.3397980647546905,No,25-28,0-7
70,Male,Yes,Yes,No,No,Monthly,No,27.0,228.0719505992239,1,0,1.7193771214690177,1.340513652956493,Yes,25-28,0-7
71,Female,Yes,Yes,Yes,Yes,Annually,No,26.0,174.97805438258493,11,0,1.0616442534670267,1.0272294821392989,No,25-28,0-7
72,Male,Yes,Yes,Yes,Yes,Semi-Annually,No,29.0,134.56411185989518,5,0,1.7258345652501248,0.8948147737986513,Yes,29-32,0-7
73,Female,Yes,No,No,Yes,Monthly,No,24.0,31.340568586282807,1,1,0.4650452286466966,0.0,Yes,21-24,0-7
74,Male,Yes,No,No,Yes,Monthly,No,24.0,215.40890983725217,1,2,1.7821071683054306,2.1269777129187504,Yes,21-24,0-7
75,Male,No,No,No,Yes,Monthly,No,30.0,8.39841697871205,1,2,1.851313434533592,1.3633300281609189,Yes,29-32,0-7
76,Male,No,No,No,Yes,Monthly,Yes,30.0,249.5130881367792,1,2,0.8754402522144942,1.002298541581715,No,29-32,0-7
77,Male,Yes,No,No,Yes,Monthly,No,32.0,241.08037796680668,1,5,3.824978830624872,4.1000039575190055,No,29-32,0-7
78,Female,Yes,Yes,No,Yes,Semi-Annually,Yes,30.0,68.78617060962523,6,4,1.5220966434730856,1.6244360306453711,No,29-32,0-7
79,Female,No,No,No,Yes,Monthly,No,25.0,277.7136524685851,1,12,3.4116349557496166,3.3417801704179326,No,25-28,8-15
80,Male,Yes,Yes,No,Yes,Monthly,Yes,28.0,132.144631872878,1,1,3.7154929789970073,3.907798981498432,No,25-28,0-7
81,Male,Yes,Yes,Yes,Yes,Semi-Annually,Yes,26.0,73.17954865693335,6,7,0.6317305922219072,0.7020948185059079,No,25-28,0-7
82,Female,Yes,No,Yes,Yes,Monthly,No,24.0,83.65564541127117,1,0,0.2689192695010907,0.1026489785077283,Yes,21-24,0-7
83,Male,Yes,No,No,Yes,Monthly,No,23.0,27.72516717934969,1,1,1.7405804733781518,1.1353422739039891,Yes,21-24,0-7
84,Female,Yes,Yes,Yes,Yes,Semi-Annually,Yes,28.0,287.83547410585294,5,5,2.946074825900828,2.9358866076199304,No,25-28,0-7
85,Male,Yes,Yes,Yes,Yes,Monthly,No,25.0,34.33285789841679,1,3,0.1187338755972613,0.0,Yes,25-28,0-7
86,Male,Yes,Yes,No,Yes,Annually,Yes,30.0,251.4285935907357,11,4,1.17374771802435,1.297812288876334,No,29-32,0-7
87,Female,Yes,No,No,Yes,Semi-Annually,No,28.0,32.93942560366577,6,4,2.2465993825465067,2.3200048335825336,No,25-28,0-7
88,Female,Yes,No,No,Yes,Monthly,No,26.0,123.69663367051903,1,0,2.370527312090504,2.6467698174213514,Yes,25-28,0-7
89,Male,No,Yes,No,Yes,Monthly,No,27.0,22.33167910602752,1,5,0.47477651870494,0.5025592116201367,No,25-28,0-7
90,Male,Yes,Yes,No,Yes,Annually,Yes,26.0,28.737502094361183,10,4,1.4940636354312635,1.3973639760045613,No,25-28,0-7
91,Male,No,No,No,No,Monthly,No,28.0,168.77758597340758,1,6,2.191897557124226,2.1428509911826383,No,25-28,0-7
92,Female,Yes,Yes,No,Yes,Monthly,No,28.0,340.3376306136844,1,3,3.774787369574622,3.7568045419689895,No,25-28,0-7
93,Female,Yes,Yes,Yes,Yes,Monthly,No,31.0,6.075928811888389,1,1,2.484539409878816,1.380961289930868,Yes,29-32,0-7
94,Female,Yes,No,No,Yes,Semi-Annually,Yes,21.0,232.9395501524931,5,0,2.1754577652294564,1.3714960723553764,Yes,,0-7
95,Male,Yes,No,No,Yes,Semi-Annually,No,25.0,101.70260431483764,5,0,0.6698056577616651,0.363487178436626,Yes,25-28,0-7
96,Male,Yes,Yes,No,Yes,Semi-Annually,No,30.0,179.12385201927108,6,3,2.9386727290689536,2.878774224056152,No,29-32,0-7
97,Male,Yes,Yes,Yes,Yes,Semi-Annually,Yes,31.0,23.30183743832832,6,6,1.0401576639009331,0.9848822199189222,No,29-32,0-7
98,Male,Yes,No,No,Yes,Monthly,No,26.0,125.38696288946257,1,0,1.3809212509032245,0.2700311708744477,Yes,25-28,0-7
99,Male,Yes,No,No,Yes,Monthly,No,26.0,31.121602708977328,1,3,1.7469905991082242,1.0234742455518258,Yes,25-28,0-7
100,Male,Yes,No,No,Yes,Monthly,Yes,25.0,51.29686857062286,1,1,2.403919209995124,1.7781083831303015,Yes,25-28,0-7
101,Female,Yes,No,No,Yes,Monthly,No,29.0,83.36584987362376,1,0,1.0469816970769954,0.4700144165664834,Yes,29-32,0-7
102,Female,Yes,Yes,Yes,Yes,Monthly,No,33.0,16.749150128407233,1,1,2.9117440133190686,2.944011414458372,No,33-37,0-7
103,Female,Yes,Yes,No,Yes,Monthly,No,26.0,146.34070104575625,1,2,1.2115879578486268,0.9747216937180944,Yes,25-28,0-7
104,Female,Yes,No,No,Yes,Annually,No,31.0,29.41397013659436,12,20,1.4514353286809352,1.4390183528850824,No,29-32,16-23
105,Male,No,No,No,Yes,Monthly,Yes,23.0,181.45971578175823,1,1,1.9281692678050049,1.5317336965826966,Yes,21-24,0-7
106,Male,Yes,No,No,Yes,Monthly,No,28.0,241.9959185318043,1,2,1.0152798205075948,1.067772138388974,No,25-28,0-7
107,Female,Yes,Yes,Yes,Yes,Annually,Yes,34.0,114.96079547186244,9,1,2.6427719703469594,2.492826314363076,No,33-37,0-7
108,Female,No,No,No,Yes,Monthly,Yes,30.0,167.04449971423398,1,7,2.344395260080297,2.4936257662312507,No,29-32,0-7
109,Female,Yes,Yes,Yes,Yes,Annually,Yes,29.0,59.803126535668106,12,6,2.275885466533244,2.531185530426696,No,29-32,0-7
110,Female,Yes,No,No,Yes,Annually,Yes,27.0,234.7699295124091,11,4,5.410054460060277,5.3684153086386734,No,25-28,0-7
111,Male,Yes,No,No,No,Monthly,Yes,25.0,251.4583500319224,1,2,0.9557186352995468,0.3658752226727858,Yes,25-28,0-7
112,Female,Yes,Yes,Yes,Yes,Semi-Annually,No,29.0,88.90794258372078,6,1,3.272647095890072,3.4071510162640744,No,29-32,0-7
113,Male,Yes,Yes,Yes,Yes,Annually,Yes,29.0,205.4779368486628,12,9,2.745098447042129,2.733828018761546,No,29-32,8-15
114,Female,Yes,Yes,Yes,Yes,Annually,Yes,32.0,258.6483831413877,12,2,0.9275427880054106,0.9283259966866128,No,29-32,0-7
115,Male,Yes,Yes,No,Yes,Monthly,No,31.0,191.38688101892745,1,2,1.818105337256105,1.822569193691037,No,29-32,0-7
116,Male,Yes,Yes,Yes,Yes,Semi-Annually,No,33.0,131.59350534816556,4,2,1.6917685839133416,1.5514089576137582,No,33-37,0-7
117,Female,No,No,No,Yes,Monthly,No,23.0,59.16390792720026,1,0,0.5569303101938249,0.7016431375555228,Yes,21-24,0-7
118,Male,No,No,No,Yes,Monthly,No,32.0,301.6247074768349,1,3,1.208335701472376,0.6964942377807813,Yes,29-32,0-7
119,Female,Yes,No,No,Yes,Monthly,No,30.0,114.79801858351584,1,2,0.9923117660496328,0.6454407141065595,Yes,29-32,0-7
120,Male,No,Yes,No,Yes,Monthly,No,31.0,235.0992659938536,1,1,0.9738344685858789,0.5502849081008999,Yes,29-32,0-7
121,Female,Yes,Yes,Yes,Yes,Monthly,No,25.0,254.79803358463136,1,1,0.4582555774679724,0.4465616442972493,No,25-28,0-7
122,Male,Yes,No,No,Yes,Annually,Yes,32.0,231.3415397907338,10,2,2.3034199553453902,2.2840959269452235,No,29-32,0-7
123,Female,No,No,No,Yes,Semi-Annually,No,29.0,138.79924403742478,6,0,1.8729408918779231,2.0129160654935427,Yes,29-32,0-7
124,Male,No,Yes,No,Yes,Monthly,Yes,28.0,162.55456456434447,1,1,1.11028845707887,1.1744855327659098,No,25-28,0-7
125,Male,Yes,No,No,Yes,Monthly,Yes,34.0,7.540132676980518,1,10,2.171613310156107,2.057809662003997,No,33-37,8-15
126,Male,No,Yes,No,Yes,Monthly,No,33.0,85.16550229006472,1,2,1.1623865758546,1.1713054369691651,No,33-37,0-7
127,Female,No,No,No,No,Monthly,No,25.0,59.880380930851686,1,0,1.4034844635468628,2.463702782900136,Yes,25-28,0-7
128,Male,No,Yes,No,Yes,Semi-Annually,No,29.0,291.7312753504424,5,0,0.0,0.0,Yes,29-32,0-7
129,Female,Yes,No,No,Yes,Annually,Yes,28.0,5.865051308080439,9,7,1.3528004355223553,1.316758784003043,No,25-28,0-7
130,Male,Yes,Yes,Yes,Yes,Annually,No,28.0,243.8207002866404,12,4,0.9152334018950924,0.8502862985811935,No,25-28,0-7
131,Male,Yes,Yes,Yes,No,Monthly,No,32.0,161.47406989868878,1,0,1.7009807840654572,1.3408570516149736,Yes,29-32,0-7
132,Female,Yes,No,No,Yes,Semi-Annually,No,34.0,184.6931236973552,6,7,1.52040715790207,1.5413463311071198,No,33-37,0-7
133,Female,Yes,No,No,Yes,Semi-Annually,Yes,27.0,227.86063342991784,6,4,2.515823611144828,2.504537284981847,No,25-28,0-7
134,Male,Yes,No,No,No,Monthly,No,26.0,73.70488062420708,1,6,0.7706409023809214,0.4472650318654215,Yes,25-28,0-7
135,Male,No,No,No,Yes,Monthly,No,33.0,262.71747286475966,1,9,3.46336356743842,3.5978630478792324,No,33-37,8-15
136,Male,Yes,No,No,Yes,Monthly,No,32.0,96.91721282537708,1,2,1.0249496800378504,0.90651711898179,Yes,29-32,0-7
137,Female,Yes,No,No,Yes,Monthly,No,28.0,226.23141041910444,1,6,0.4852549953585394,0.398128545468232,No,25-28,0-7
138,Female,Yes,Yes,Yes,Yes,Annually,No,29.0,10.804310442202306,12,2,1.5870116110503345,1.5952250029862822,No,29-32,0-7
139,Male,Yes,Yes,Yes,Yes,Annually,Yes,35.0,161.989847247568,12,4,2.586389240078054,2.66129491918179,No,33-37,0-7
140,Female,Yes,No,No,Yes,Monthly,No,25.0,322.65654787308245,1,3,2.0866801872970435,2.207409810641474,No,25-28,0-7
141,Male,Yes,No,No,Yes,Semi-Annually,Yes,30.0,172.19943740262332,6,3,2.0573506141918423,2.026214820457785,No,29-32,0-7
142,Male,No,Yes,No,No,Annually,No,29.0,89.65779449812035,12,1,3.5215020511386634,3.3681368682113098,No,29-32,0-7
143,Male,Yes,Yes,No,Yes,Annually,Yes,37.0,194.23515075203585,12,5,1.208614381367461,1.2140854655564786,No,33-37,0-7
144,Male,Yes,No,No,Yes,Monthly,No,36.0,79.29361848882044,1,12,1.604291845573584,1.645825408314718,No,33-37,8-15
145,Female,No,Yes,No,Yes,Monthly,No,22.0,66.70614985018169,1,3,1.8532676680184168,2.07571927954018,Yes,21-24,0-7
146,Male,Yes,No,No,Yes,Monthly,No,32.0,154.3411191967422,1,0,2.015868105616156,0.8723748441188264,Yes,29-32,0-7
147,Male,No,No,No,Yes,Semi-Annually,No,32.0,264.7647420446215,6,2,0.0535194304314057,0.0333105298965583,No,29-32,0-7
148,Female,No,Yes,No,Yes,Semi-Annually,No,30.0,208.80618511574767,6,3,3.0416046203876617,3.110076817789317,No,29-32,0-7
149,Male,Yes,Yes,Yes,Yes,Monthly,Yes,29.0,175.52462363115475,1,5,1.019021745821728,1.017565050274968,No,29-32,0-7
150,Female,Yes,Yes,Yes,Yes,Annually,No,30.0,157.44673126842932,11,1,2.076114091220589,2.099662224144163,No,29-32,0-7
151,Male,Yes,No,No,Yes,Annually,No,28.0,416.7071747042405,7,6,3.486852743640963,3.5904443382122504,No,25-28,0-7
152,Male,Yes,Yes,Yes,Yes,Annually,Yes,32.0,207.524673359496,9,1,0.0739321443548739,0.0541583722520256,No,29-32,0-7
153,Male,Yes,No,No,Yes,Monthly,No,31.0,329.54612276586613,1,1,2.6572141694696194,2.7075474106192594,No,29-32,0-7
154,Female,Yes,Yes,Yes,No,Monthly,Yes,26.0,142.5417175113823,1,0,1.0152820552008746,0.5796092319974153,Yes,25-28,0-7
155,Male,Yes,No,No,Yes,Annually,Yes,30.0,77.06225564547923,11,3,1.6990115564979946,1.7535809768468986,No,29-32,0-7
156,Female,Yes,Yes,Yes,Yes,Semi-Annually,No,26.0,54.69421089191693,6,9,2.531159142810844,2.4468416890583,No,25-28,8-15
157,Male,Yes,Yes,Yes,Yes,Annually,Yes,26.0,9.423026461182417,7,6,1.9550516008299943,2.0725866215365936,No,25-28,0-7
158,Female,Yes,No,No,Yes,Monthly,No,29.0,34.99031404544924,1,0,0.7213526713929127,0.9312736978082226,Yes,29-32,0-7
159,Male,Yes,Yes,No,Yes,Monthly,Yes,30.0,255.54778169154147,1,12,4.079398614423472,4.084065021594674,No,29-32,8-15
160,Male,No,No,No,Yes,Monthly,No,22.0,214.4186736614924,1,1,1.0323862384405966,0.8683406273709459,Yes,21-24,0-7
161,Female,Yes,Yes,Yes,Yes,Monthly,No,23.0,174.8732368744856,1,0,2.331755076778549,2.6025437349470897,Yes,21-24,0-7
162,Male,No,No,No,Yes,Monthly,No,31.0,104.68044618332502,1,1,1.952119241329041,2.080270202754129,Yes,29-32,0-7
163,Male,Yes,No,No,Yes,Monthly,Yes,32.0,72.80895435796623,1,5,0.6722669057848236,0.5775865817477115,No,29-32,0-7
164,Female,Yes,Yes,Yes,Yes,Semi-Annually,No,34.0,75.04623523493058,5,5,1.4324635058331654,1.5107794637226473,No,33-37,0-7
165,Male,Yes,No,Yes,Yes,Monthly,Yes,31.0,122.05642080994387,1,0,1.8283412546372035,1.9772811626470967,No,29-32,0-7
166,Female,Yes,No,No,Yes,Semi-Annually,No,29.0,143.13548853575756,5,4,0.0,0.0,No,29-32,0-7
167,Male,Yes,Yes,Yes,Yes,Monthly,Yes,27.0,229.4853857224899,1,0,0.6065449978443745,0.0,Yes,25-28,0-7
168,Male,Yes,Yes,No,No,Monthly,No,26.0,24.50648027433324,1,5,0.8102000549814791,0.0497668866403027,Yes,25-28,0-7
169,Male,Yes,No,No,Yes,Monthly,No,29.0,285.17118890712527,1,13,1.516261151446047,1.6721829423104977,No,29-32,8-15
170,Female,Yes,Yes,No,Yes,Monthly,Yes,29.0,299.26475178182426,1,4,2.1702874369350704,1.9844704055936744,No,29-32,0-7
171,Male,Yes,No,Yes,Yes,Annually,Yes,29.0,149.51840020494063,8,6,2.9694612881720084,3.1500103598951417,No,29-32,0-7
172,Male,Yes,No,No,Yes,Monthly,No,35.0,126.58892173093165,1,8,2.4583830697916387,2.3672572536040977,No,33-37,8-15
173,Female,Yes,No,No,Yes,Monthly,Yes,29.0,170.71720745157273,1,0,1.5716664146411283,1.2639436137830606,Yes,29-32,0-7
174,Female,Yes,No,No,Yes,Monthly,No,27.0,243.44782695321555,1,1,2.3185582772767623,2.264364269376285,Yes,25-28,0-7
175,Male,Yes,Yes,Yes,Yes,Annually,Yes,30.0,60.24556867198161,12,6,1.7772428455382498,1.7590833083597843,No,29-32,0-7
176,Female,Yes,Yes,Yes,Yes,Annually,No,31.0,327.58812027967014,7,3,0.6749528874249242,0.7409735444788941,No,29-32,0-7
177,Male,Yes,No,Yes,Yes,Monthly,Yes,27.0,118.34535811686888,1,2,3.411260015847032,3.3242377416434272,No,25-28,0-7
178,Male,Yes,No,Yes,Yes,Monthly,Yes,29.0,95.66155841984995,1,1,2.1792498562703746,0.942721860001219,Yes,29-32,0-7
179,Male,Yes,No,No,Yes,Monthly,No,31.0,83.26797896668923,1,0,1.7077265634781928,1.653354340711663,No,29-32,0-7
180,Female,Yes,Yes,No,Yes,Annually,No,30.0,357.0469424513923,11,4,4.0986080913904015,4.057948137185618,No,29-32,0-7
181,Female,Yes,No,No,Yes,Monthly,No,33.0,32.28790186479418,1,4,0.9473553934762664,0.9472708747130264,No,33-37,0-7
182,Female,No,No,No,Yes,Monthly,No,28.0,56.183114648977785,1,3,2.8965154092694085,2.9748115043408827,No,25-28,0-7
183,Male,Yes,No,No,Yes,Monthly,No,33.0,68.50358197916258,1,6,2.6119538987891664,2.6695651601506007,No,33-37,0-7
184,Female,No,No,No,Yes,Monthly,No,30.0,218.8931159949425,1,0,3.6211326290202015,3.4490663273308617,No,29-32,0-7
185,Male,No,Yes,No,Yes,Annually,Yes,29.0,73.06104519177603,8,2,1.6702396738740806,1.7759602350858017,No,29-32,0-7
186,Male,Yes,No,No,Yes,Monthly,No,32.0,39.93783767837607,1,4,4.256038926416903,4.21491409810838,No,29-32,0-7
187,Female,Yes,Yes,Yes,Yes,Semi-Annually,Yes,27.0,292.2286091189424,4,0,1.0475612692919922,1.0876698446313209,No,25-28,0-7
188,Female,Yes,No,No,No,Annually,No,27.0,327.35373070151667,12,7,2.1881615400787786,2.0294190967400345,No,25-28,0-7
189,Female,Yes,No,No,Yes,Monthly,No,30.0,186.37195901184225,1,1,2.427950899858006,2.4844671916377186,No,29-32,0-7
190,Female,Yes,No,No,Yes,Monthly,No,29.0,121.46156881946504,1,1,1.0939076759678754,0.6093480449772486,Yes,29-32,0-7
191,Female,Yes,Yes,No,Yes,Monthly,No,26.0,231.1658885452937,1,4,0.6437481074940188,0.8713148362326104,No,25-28,0-7
192,Male,Yes,Yes,No,Yes,Annually,No,30.0,174.43058712331646,11,9,1.696863335086217,1.6012410500461938,No,29-32,8-15
193,Female,No,Yes,No,No,Semi-Annually,No,33.0,53.124270062825616,5,0,2.993532299480022,2.910933669513476,No,33-37,0-7
194,Male,No,Yes,Yes,Yes,Annually,No,29.0,171.7258460743299,12,9,2.6694114034494203,2.7910690859003227,No,29-32,8-15
195,Female,Yes,No,No,No,Monthly,No,29.0,241.7016740555345,1,4,1.690379651877285,1.5950648887526482,No,29-32,0-7
